id,authors,year,journal,doi,ajg_rank,found_via,theory_code,theory_secondary,context_locus,context_role_structure,context_geography,context_sample,focal_construct,problem_code,problem_secondary,key_finding,mechanism,design,data_source,analysis,outcome_valence,screening_decision,memo
D01,Radu-Lefebvre et al.,2020,JBV,10.1016/j.jbusvent.2020.106031,4,database-scite,IDWORK,NARR,independent,exclusive,,founders,founder identity authenticity work,ACTION,,,,,,,,A,title-stage
D02,,2021,JSBM,10.1080/00472778.2021.1905821,3,database-scite,FIT,,independent,exclusive,,founders,founder identity tension,ACTION,,,,,,,,A,title-stage
D03,,2022,JSBM,10.1080/00472778.2022.2051180,3,database-scite,,,independent,exclusive,,coworking founders,founder identity in context,PROTOTYPE,,,,,,,,A,title-stage; context-explicit
D04,,2019,ASQ,10.1177/0001839219843486,4*,database-scite,FIT,,independent,exclusive,,nascent industry founders,founder identity inertia/flexibility,ACTION,,,,,,,,A,title-stage
D05,,2026,JBV,10.1016/j.jbusvent.2026.106584,4,database-scite,,,independent,transitional,,founders,entrepreneurial disidentification,PERSISTENCE,,,,,,,,A,title-stage
D06,,2018,JBV,10.1016/j.jbusvent.2017.12.001,4,database-scite,IDWORK,,independent,exclusive,,B Corp founders,identity work via certification,VALUES,AUDIENCE,,,,,,,A,title-stage
D07,Kasperova & Kitching,2014,IJEBR,10.1108/ijebr-07-2013-0108,2,database-scite,,,independent,exclusive,,disabled entrepreneurs,embodied entrepreneurial identity,OTHER,,,,,,,,A,title-stage; embodiment
D08,,2013,FBR,10.1177/0894486512474036,3,database-scite,IDWORK,,family,hybrid,,family business members,boundary identity work,HIERARCHY,VALUES,,,,,,,A,title-stage
D09,,2019,GWO,10.1111/gwao.12357,3,database-scite,IDWORK,,independent,exclusive,,women creative founders,identity work,VALUES,,,,,,,,A,title-stage
D10,Swail & Marlow,2018,ERD,10.1080/08985626.2017.1406539,3,database-scite,IDWORK,IMPR,independent,exclusive,,nascent women entrepreneurs,gendered legitimation,AUDIENCE,,,,,,,,A,title-stage
D11,Lewis,2013,GWO,10.1111/j.1468-0432.2011.00568.x,3,database-scite,,,independent,exclusive,,women business owners,authentic entrepreneurial identity,VALUES,AUDIENCE,,,,,,,A,title-stage
D12,,2021,ERD,10.1080/08985626.2021.1890231,3,database-scite,IDWORK,,multiple,,,cross-setting comparison,identity work repertoires by setting,OTHER,,,,,,,,A,title-stage; DIRECTLY on context-comparison
D13,,2017,IJEBR,10.1108/ijebr-07-2016-0215,2,database-scite,,,independent,exclusive,,cultural/creative entrepreneurs,entrepreneurial identity role,VALUES,,,,,,,,A,title-stage
D14,,2016,JSBM,10.1111/jsbm.12175,3,database-scite,IDWORK,,independent,exclusive,,women founders,gendered identity work longitudinal,ACTION,,,,,,,,A,title-stage
D15,,2017,BJM,10.1111/1467-8551.12220,4,database-scite,IDWORK,,independent,exclusive,,resource-constrained founders,bricolage and identity work,ACTION,,,,,,,,A,title-stage
D16,,2021,JAP,10.1037/apl0000823,4*,database-scite,POSS,,independent,transitional,,employees to entrepreneurs,identity aspiration after displacing events,PERSISTENCE,,,,,,,,A,title-stage
D17,,2024,JSBM,10.1080/00472778.2024.2366959,3,database-scite,RIT,SIT,academic,hybrid,,university researchers,hybrid identity centrality,HIERARCHY,,,,,,,,A,title-stage
D18,Duberley & Carrigan,2013,ISBJ,10.1177/0266242611435182,3,database-scite,RIT,,family,hybrid,UK,mumpreneurs,career identity motherhood x enterprise,VALUES,HIERARCHY,,,,,,,A,title-stage
D19,,2023,IJGE,10.1108/ijge-06-2022-0102,2,database-scite,,,family,hybrid,LatAm migrants,migrant mother entrepreneurs,marianismo x entrepreneurial identity,VALUES,,,,,,,,A,title-stage
D20,,2022,ERD,10.1080/08985626.2022.2083692,3,database-scite,IDWORK,,family,hybrid,,entrepreneuring mothers online,building being belonging,VALUES,AUDIENCE,,,,,,,A,title-stage
D21,,2013,JFBM,10.1108/20436231311326481,1,database-scite,,,family,hybrid,,copreneurs,copreneurial identity development,HIERARCHY,,,,,,,,A,title-stage
D22,,2025,ISBJ,10.1177/02662426251318609,3,database-scite,SIT,,independent,exclusive,refugees,refugee entrepreneurs,multiple identities enacting power,OTHER,,,,,,,,A,title-stage
D23,Brändle & Kuckertz? (verify),2019,AMR,10.5465/amr.2017.0504,4*,database-scite,SIT,,social,,,social entrepreneurs,SIT for social entrepreneurship,OTHER,,,,,,conceptual,,A,title-stage
D24,,2017,Organization,10.1177/1350508416665474,3,database-scite,IDWORK,,social,,,social entrepreneurs,psychoanalytic identity work,PROTOTYPE,,never social and entrepreneurial enough,,,,,,A,title-stage
D25,,2024,SEJ,10.1108/sej-10-2023-0119,1,database-scite,,,social,,,social venture founders,paradoxical founder identity,VALUES,,,,,,,,A,title-stage
D26,,2016,JOMS,10.1111/joms.12198,4,database-scite,,,social,,,environmental entrepreneurs,identity coupling venture goals,VALUES,,,,,,,,A,title-stage
D27,,2023,GWO,10.1111/gwao.12670,3,database-scite,IDWORK,,platform,exclusive,India,self-employed transpeople,stigma counter identity work,AUDIENCE,,,,,,,,A,title-stage
D28,Stead,2017,ISBJ,10.1177/0266242615594413,3,database-scite,SIT,,independent,exclusive,,women entrepreneurs,belonging navigation,AUDIENCE,,,,,,,,A,title-stage
D29,,2012,IJEBR,10.1108/ijebr-11-2011-0157,2,database-scite,SIT,,independent,exclusive,,entrepreneurs,EI meets multiple social identities,HIERARCHY,,,,,,,,A,title-stage
D30,,2024,ETP,10.1177/10422587241288108,4,database-scite,RIT,,corporate,hybrid,,hybrid entrepreneurs,role demands and well-being,HIERARCHY,,,,,,,,A,title-stage; core hybrid cell
D31,Shepherd & Haynie,2013,JOM,10.1177/0149206312457823,4,database-scite,,,independent,transitional,,failed entrepreneurs,life after business failure,PERSISTENCE,,,,,,,,A,title-stage
D32,Singh et al.,2015,JBV,10.1016/j.jbusvent.2014.07.005,4,database-scite,NARR,IMPR,independent,transitional,,failed entrepreneurs,failure stigmatization narrative,PERSISTENCE,AUDIENCE,,,,,,,A,title-stage
D33,,2023,JBV,10.1016/j.jbusvent.2023.106302,4,database-scite,NARR,,independent,transitional,,failed entrepreneurs,narrative identity reconstruction,PERSISTENCE,,,,,,,,A,title-stage
D34,,2020,JBV,10.1016/j.jbusvent.2020.106015,4,database-scite,,,platform,transitional,,failed entrepreneurs on Twitter,digital identity after failure,AUDIENCE,PERSISTENCE,,,,,,,A,title-stage
D35,,2009,SEJ,10.1002/sej.113,3,database-scite,IMPR,,independent,transitional,,failed entrepreneurs,stigma impression management self-verification,AUDIENCE,PERSISTENCE,,,,,,,A,title-stage
D36,Marshall et al.,2021,Personnel Psychology,10.1111/peps.12455,4,database-scite,RIT,,corporate,transitional,,former entrepreneurs in employment,lingering EI and turnover,PERSISTENCE,,,,,,,,A,title-stage; pairs with Nielsen & Gish
D37,,2022,ETP,10.1177/10422587211057027,4,database-scite,NARR,IDWORK,independent,transitional,,serial entrepreneurs,public failure narratives idea/identity work,PERSISTENCE,AUDIENCE,,,,,,,A,title-stage
D38,,2021,ETP,10.1177/1042258720952291,4,database-scite,RIT,,independent,exclusive,,experienced entrepreneurs,role identity and creativity,ACTION,,,,,,,,A,title-stage
D39,Refai et al.,2018,IJEI,10.1177/1465750317750322,1,database-scite,,,independent,exclusive,Jordan,Syrian refugees,contextualized EI liminality,PROTOTYPE,,,,,,,,A,title-stage
D40,,2024,JMO,10.1017/jmo.2024.43,2,database-scite,IMPR,,independent,exclusive,,former refugee women,(in)visibility paradoxes,AUDIENCE,,,,,,,,A,title-stage
D41,,2025,ISBJ,10.1177/02662426251360178,3,database-scite,IDWORK,,independent,exclusive,,migrant entrepreneurs,mentors as identity work orchestrators,OTHER,,,,,,,,A,title-stage
D42,,2017,GWO,10.1111/gwao.12184,3,database-scite,,,independent,exclusive,Uganda,female street traders,EI negotiation via mobile phones,AUDIENCE,,,,,,,,A,title-stage; informal economy
D43,,2017,IJEBR,10.1108/ijebr-07-2016-0214,2,database-scite,,,independent,exclusive,,immigrants,EI development,OTHER,,,,,,,,A,title-stage
D44,,2025,GWO,10.1111/gwao.70013,3,database-scite,IDWORK,,independent,exclusive,Saudi Arabia,tribal women entrepreneurs,identity work tribe x gender,VALUES,,,,,,,,A,title-stage
D45,,2023,IJEBR,10.1108/ijebr-01-2023-0037,2,database-scite,IDWORK,,independent,exclusive,,racial minority entrepreneurs,othering and authenticity,AUDIENCE,,,,,,,,A,title-stage
D46,,2016,SEJ,10.1002/sej.1262,3,database-scite,RIT,SIT,,,,,identity theory reconceptualization of entrepreneurial behavior,OTHER,,,,,,conceptual,,A,title-stage
D47,,2022,IJEBR,10.1108/ijebr-12-2021-0990,2,database-scite,SIT,,independent,exclusive,,founders,social identities and opportunity evaluation,ACTION,,,,,,,,A,title-stage
D48,,2022,Marketing Theory,10.1177/14705931221124026,3,database-scite,IDWORK,,independent,exclusive,,alternative market entrepreneurs,heroism to martyrdom,AUDIENCE,VALUES,,,,,,,A,title-stage
D49,,2019,JIR,10.1177/0022185619848461,2,database-scite,,,platform,exclusive,,ride-share drivers,varied driver identities,PROTOTYPE,,,,,,,,A,title-stage
D50,,2022,SBE,10.1007/s11187-021-00585-3,3,database-scite,,,academic,hybrid,,scientists,becoming academic entrepreneur EI development,HIERARCHY,,,,,,,,A,title-stage
D51,,2022,IJEI,10.1177/14657503211063896,1,database-scite,IDWORK,,academic,hybrid,,nascent academic entrepreneurs,boundary identity work,HIERARCHY,,,,,,,,A,title-stage
D52,,2021,IJEBR,10.1108/ijebr-08-2019-0492,2,database-scite,SIT,,corporate,hybrid,,corporate venturing employees,collective EI forging,PROTOTYPE,,,,,,,,A,title-stage
D53,,2022,JOB,10.1002/job.2605,4,database-scite,RIT,,independent,exclusive,,passionate entrepreneurs,multistage passion role identity management,ACTION,PERSISTENCE,,,,,,,A,title-stage
D54,Starmann et al.,2024,JPIM,10.1111/jpim.12798,4,database-scite,IDWORK,PROTOTYPE,corporate,hybrid,,intrapreneurs,intrapreneur identity illusion,PROTOTYPE,HIERARCHY,intrapreneurs oscillate no stable identity,missing prototype blocks identification,qual,interviews,,F,A,confirms A12 anchor DOI
D55,,2020,Technovation/TFSC,10.1016/j.techfore.2020.120179,4,database-scite,RIT,IDWORK,academic,hybrid,,university principal investigators,hybrid role identity shaping,HIERARCHY,,PIs actively shape hybrid role identity,,qual,,,S,A,title-stage; pairs w Jain
D56,,2018,AOM Proc,10.5465/ambpp.2018.147,,database-scite,CONFLICT,RIT,academic,hybrid,,academic entrepreneurs,Jekyll/Hyde identity conflict,HIERARCHY,PROTOTYPE,academic entrepreneurs manage identity conflict,,qual,,,C,B,proceedings-check N2
D57,,2015,JOM,10.1177/0149206314544747,4,database-scite,RIT,,independent,exclusive,,entrepreneurs,role identities and opportunity selection,ACTION,,,,,,,,A,title-stage
D58,,2022,ET,10.1108/et-06-2021-0203,2,database-scite,IDWORK,,academic,hybrid,,academic teachers in training camp,sensemaking identity work,HIERARCHY,,,,,,,,A,title-stage
D59,,2025,Social Media+Society,10.1177/20563051251323951,3,database-scite,IMPR,IDWORK,platform,exclusive,,influencers/creators,platforms construct creators,AUDIENCE,,,,,,,,A,title-stage; platform cell
D60,,2025,Sociology of Race/Ethnicity,10.1177/23326492251374650,3,database-scite,IDWORK,IMPR,platform,exclusive,,exotic dancers as platform entrepreneurs,erotic influencer entrepreneurship,AUDIENCE,VALUES,,,,,,,A,title-stage; platform cell
D61,,2019,Journal of Media Business,10.1080/16522354.2019.1689767,2,database-scite,IDWORK,IMPR,platform,exclusive,,digital media entrepreneurs,EI development via digital media,AUDIENCE,,,,,,,,A,title-stage; platform cell
D62,,2021,IJEBR,10.1108/ijebr-11-2019-0619,2,database-scite,,,academic,hybrid,,academics,motivations to become entrepreneur evolve,OTHER,,,,,,,,B,motivation-focus not identity; C3 check
D63,,2022,IJEBR? verify,10.5465/ambpp.2017.13952abstract,,database-scite,IDWORK,,independent,exclusive,,women entrepreneurs,identity construction across socio-cultural contexts,VALUES,,,,,,,,B,proceedings-check N2
E02,Pan et al.,2019,AMR,10.5465/amr.2017.0504,4*,database-consensus,SIT,,social,hybrid,,social entrepreneurs,SIT for social entrepreneurship,VALUES,ACTION,SIT better than RIT for other-oriented behavior,,conceptual,,,C,A,CONVERGENCE-TEST: same construct debated across context
E03,Zur,2020,J Soc Ent,10.1080/19420676.2020.1758193,2,database-consensus,FIT,,social,hybrid,,social entrepreneurs,Fauchart-Gruber types in social,VALUES,HIERARCHY,social entrepreneurs show hybrid meta-role identities,,qual,interviews,,C,A,CONVERGENCE: FG typology applied to social cell
E04,Alsos et al.,2016,ERD,10.1080/08985626.2016.1174305,3,database-consensus,FIT,SIT,independent,exclusive,,tourism founders,social identity and effectuation/causation,ACTION,,FG identity shapes effectual vs causal behavior,,mixed,survey+interview,,C,A,CONVERGENCE: FG->action, same as independent core
E05,Estrada-Cruz et al.,2019,BRQ,10.1016/j.brq.2018.09.001,2,database-consensus,FIT,,independent,exclusive,,founders,social identity x culture on logic,ACTION,,FG identity + culture shape decision logic,,quant,survey n=5076,,C,A,CONVERGENCE: FG->action across cultures
E06,Estrada de la Cruz et al.,2017,ERMBE,10.1016/j.iedeen.2018.01.001,1,database-consensus,FIT,,independent,exclusive,,founders,social identity->performance via effectuation,ACTION,,,,quant,survey,,C,A,CONVERGENCE: FG->action
E07,Aust et al.,2024,JSBM,10.1080/00472778.2024.2301767,3,database-consensus,FIT,SIT,social,hybrid,,entrepreneurs,hybrid founder social identity and resilience,ACTION,VALUES,hybrid FG identities boost resilience,,quant,survey n=886,,S,A,CONVERGENCE: FG hybrid types measurable across
E08,Cesinger et al.,2021,EMJ,10.1016/j.emj.2020.06.006,3,database-consensus,IDWORK,FIT,social,hybrid,,sustainable entrepreneurs,ebb and flow of hybrid identity,VALUES,HIERARCHY,identity shifts by tension; multiple yet coherent,fluid conflict management,qual,29 cases,,C,A,title-stage; NOTE: claims coherence not divergence
E09,York et al.,2016,JOMS,10.1111/joms.12198,4,database-consensus,RIT,,social,hybrid,,environmental entrepreneurs,identity coupling venture goals,VALUES,ACTION,identity coupling strength sets goal priority,,qual,25 firms,,C,A,dup of D26 - MERGE
E10,Cornelissen et al.,2020,JOMS,10.1111/joms.12640,4,database-consensus,,,social,hybrid,,social enterprise,hybrid ORG identity formation,OTHER,,,,qual,longitudinal,,,C,C1-EXCLUDE: organizational not individual identity
E11,Smith & Besharov,2019,ASQ,10.1177/0001839217750826,4*,database-consensus,,,social,hybrid,Cambodia,social enterprise,structured flexibility sustaining hybridity,OTHER,,,,qual,longitudinal,,,C,C1-EXCLUDE: organizational-level
E12,Djebali et al.,2025,IJEBR,10.1108/IJEBR-04-2024-0447,2,database-consensus,SIT,,social,hybrid,England,later-life social entrepreneurs,self-categorization SEI types,VALUES,,three LWL social entrepreneur types,,qual,28 interviews,,C,A,title-stage
G01,Hamrick et al.,2025,Journal of Business Research,10.1016/j.jbusres.2024.115078,3,database-consensus,POSS,RIT,corporate,hybrid,,employees in traditional jobs (two studies),entrepreneurial identity aspiration,ACTION,HIERARCHY,"Entrepreneurial identity aspiration motivates employees to engage in intrapreneurial behaviors, which raises work performance",aspired entrepreneurial possible self drives intrapreneurial behavior,quantitative,survey,moderation,S,A,possible-selves account inside employer; corporate/hybrid
G02,Darcis et al.,2023,Business Ethics Env & Responsibility,10.1111/beer.12600,2,database-consensus,OTHER,,corporate,hybrid,,social intrapreneurs,social intrapreneur role/profile,PROTOTYPE,,four types of social intrapreneurs by role/position,agency and ethical expression shape role assumed,qualitative,interviews,typology,,B,identity theorization implicit; C3 flag
J01,Wang Thomas & Bosworth,2021,J Technology Transfer,10.1007/s10961-021-09845-6,3,database-scite,RIT,SIT,academic,hybrid,China,275 academic scientists,entrepreneurial vs scientist identity centrality,HIERARCHY,,dual identity centralities complementary not competing,univ entrepreneurial mission moderates,quantitative,survey,regression,S,B,C4 satisfied; integrates
J02,Pattnaik et al.,2024,J Technology Transfer,10.1007/s10961-023-09994-w,3,database-scite,POSS,SIT,academic,hybrid,USA,NSF I-Corps scientists,scientist self-guides vs academic-entrepreneur possible self,PROTOTYPE,HIERARCHY,self-guides drive enthusiasm; scientist id amplifies academic-entrep id attenuates,self-discrepancy shapes enthusiasm,quantitative,survey,regression,C,A,
J03,Montonen,2025,SA J Business Mgmt Cases,10.1177/22779779241312307,,database-scite,IDWORK,,academic,hybrid,Finland,academics in spin-offs,hybrid science-business identity,HIERARCHY,PROTOTYPE,connection-building vs difference-building identity work,boundary-work tactics,qualitative,longitudinal interviews,case,C,B,empirical case not teaching case
J04,Bousfiha & Berglund,2025,SEJ,10.1002/sej.1541,3,database-consensus,IDWORK,RIT,academic,hybrid,Sweden,27 academic entrepreneurs,hybrid work identity across role switches,HIERARCHY,,hybrid identity enacted via professional micro-transitions,material micro-transitions sustain hybrid identity,qualitative,interviews,interpretive,S,A,integrates via cross-fertilization
J05,Choi Siegel Waldman et al.,2024,Small Business Economics,10.1007/s11187-023-00861-4,3,database-consensus,CONFLICT,RIT,academic,hybrid,USA,391 scientists,scientist vs entrepreneur role conflict,HIERARCHY,,foreign-born manage role conflict more readily,immigration status conditions reconciliation,quantitative,survey,mediation,C,A,
J06,Zou Guo & Guo,2019,IEMJ,10.1007/s11365-017-0492-1,2,database-consensus,SIT,CONFLICT,academic,hybrid,China,246 academic entrepreneurs,scholarly vs entrepreneurial identification and role conflict,HIERARCHY,,entrep identification reduces scholarly increases conflict; conflict lowers performance,,quantitative,survey,regression,C,A,
J07,Zou et al.,2023,Technovation,10.1016/j.technovation.2023.102859,3,database-scite,RIT,SIT,academic,transitional,China,246 academic entrepreneurs,role harmony during scholar-entrepreneur transition,HIERARCHY,,inverted-U/U curvilinear links to role harmony,harmony at intermediate identification via narrative,quantitative,survey,curvilinear,C,A,conditional not linear
J08,Shi Zou & Santos,2021,Review of Managerial Science,10.1007/s11846-020-00420-1,2,database-scite,CONFLICT,SIT,academic,hybrid,China,academic entrepreneurs,scholar vs entrepreneur identity duality,HIERARCHY,,persistent Jekyll-Hyde duality managed via identification coping,,quantitative,survey,regression,C,B,
J09,Giunti & Duberley,2023,ERD,10.1080/08985626.2023.2178676,3,database-consensus,RIT,IDWORK,academic,hybrid,UK Australia Italy,81 STEM academics,academic vs entrepreneurial role identity,HIERARCHY,VALUES,roles coexist but do not fuse; academic stays central,continuity of academic values prevents fusion,qualitative,interviews,thematic,C,A,argues against fusion; academic primary
J10,Woods Cunningham McAdam & Miller,2025,IJEBR,10.1108/ijebr-04-2024-0376,2,database-consensus,IDWORK,RIT,academic,hybrid,UK/Ireland,15 female academic entrepreneurs,gendered multiple role identities,HIERARCHY,AUDIENCE,gendered legitimacy pressures require extra identity work,,qualitative,narrative,feminist phenomenology,C,A,
J11,Lam,2010,Social Studies of Science,10.1177/0306312709349963,3,database-scite,RIT,OTHER,academic,hybrid,UK,734 scientists,scientist professional role identity orientations,PROTOTYPE,HIERARCHY,four orientations; hybrids dominant and most adept at boundary-work,,mixed,interviews+survey,typology,S,A,hybrids dominant and effective
J12,Gruber Crispeels & D'Este,2023,Minerva,10.1007/s11024-023-09492-1,1,database-consensus,RIT,,academic,transitional,EU,PhD students and supervisors,researcher role identity blending scholarship and engagement,HIERARCHY,PERSISTENCE,knowledge networks reinforce or conflict researcher role identity,network alters shape hybrid identity formation,qualitative,longitudinal network,interpretive,C,B,
J13,,2018,,10.1080/17510694.2018.1489197,,database-scite,RIT,,other,hybrid,,young musicians,bohemian vs entrepreneurial career identity,HIERARCHY,PROTOTYPE,artist and entrepreneur career identities clash or reconcile,,,,,C,B,artist-entrepreneur hybrid; metadata thin
J14,,2024,Creativity and Innovation Mgmt,10.1111/caim.70001,2,database-scite,IDWORK,CONFLICT,other,hybrid,,creative-craft makers,artist/craftsperson/entrepreneur identity,HIERARCHY,PROTOTYPE,makers juggle multiple identities rather than settling,,qualitative,interviews,interpretive,C,B,artist/craft-entrepreneur hybrid
J15,,2021,Sustainability,10.3390/su13042358,,database-scite,RIT,,academic,transitional,China,academic spin-off scholars,scholar-to-entrepreneur identity transition,HIERARCHY,,identity transition positively associated with spin-off R&D input,,quantitative,survey,regression,S,B,journal AJG-unranked
J16,Zou et al.,2022,IEMJ,10.1007/s11365-021-00764-4,2,database-scite,CONFLICT,RIT,academic,hybrid,China,academic entrepreneurs,role conflict antecedents,HIERARCHY,,prior academic/entrepreneurial experience shapes role conflict,,quantitative,survey,regression,C,B,abstract not fully retrieved; verify
H01,Hytti Alsos Heinonen & Ljunggren,2017,ISBJ,10.1177/0266242616675924,3,database-consensus,IDWORK,,family,hybrid,Finland,20 daughters in family firms,daughter leader/gender identity,HIERARCHY,VALUES,daughters construct leader identities via gendered scripts and switching,tempered disruption,qualitative,interviews,narrative,C,A,
H02,Xian Jiang & McAdam,2020,ISBJ,10.1177/0266242620960711,3,database-consensus,IDWORK,,family,hybrid,China,20 female successors,successor-leader identity,HIERARCHY,VALUES,three approaches by conformity to Confucian gender norms,,qualitative,interviews,interpretive,C,A,
H03,McAdam Brophy & Harrison,2020,ISBJ,10.1177/0266242620948349,3,database-scite,IDWORK,,family,transitional,Ireland/UK,5 father-daughter dyads,successor identity legitimacy,PROTOTYPE,HIERARCHY,daughter successor identity co-constructed via father-daughter relations,,qualitative,interviews,narrative,C,A,
H04,Brophy McAdam & Cavanagh,2023,IJGE,10.1108/ijge-12-2022-0221,1,database-consensus,IDWORK,,family,hybrid,Ireland,14 female next-gen leaders,female next-gen (in)visibility identity,AUDIENCE,HIERARCHY,balance vying-for vs forgoing visibility for legitimacy,,qualitative,interviews,thematic,C,A,
H05,Mussolino Cicellin Iacono & Martinez,2019,JFBS,10.1016/j.jfbs.2019.01.003,2,database-consensus,NARR,,family,hybrid,Italy,4 daughter-successor narratives,daughter self-positioning,HIERARCHY,VALUES,daughters position self close/distant from father style,,qualitative,interviews,narrative,C,A,
H06,Sentuti Cesaroni & Cubico,2024,ERD,10.1080/08985626.2024.2339978,3,database-consensus,IDWORK,,family,hybrid,Italy,10 non-successor daughters,non-successor entrepreneurial identity,VALUES,PERSISTENCE,three processes avoiding/defending/emancipation,,qualitative,life-story,grounded,C,A,
H07,Gherardi & Perrotta,2016,IJGE,10.1108/ijge-11-2014-0044,1,database-consensus,OTHER,IDWORK,family,transitional,Italy,small Italian firms,daughter legitimacy in succession,HIERARCHY,VALUES,gender inequality justified via orders of worth,,qualitative,case,pragmatic sociology,C,B,identity subordinated to legitimacy lens
H08,Halkias et al.,2023,Thunderbird Intl Bus Rev,10.1002/tie.22318,1,database-scite,NARR,POSS,family,transitional,,next-gen principals,next-gen identity & legacy,PERSISTENCE,VALUES,role-changing events reshape legacy and identity,,qualitative,interviews,thematic,C,A,
H09,,2024,Management and Organization Review,10.1017/mor.2024.50,3,database-scite,OTHER,RIT,family,hybrid,China,successors Chinese family firms,successor entrepreneurial identity,VALUES,,parental mentoring shapes successor identity,,quantitative,survey,SEM,C,B,identity as measured outcome
H10,Smith,2014,JFBM,10.1108/jfbm-11-2011-0050,1,database-scite,NARR,,family,hybrid,UK,second-gen stories,second-gen entrepreneurial identity,VALUES,PERSISTENCE,storying reconciles inherited business and personal narrative,,qualitative,narrative,discourse,C,B,exploratory
